customer_id,first_name,last_name,email,age,gender,city,registration_date,loyalty_tier,email_opt_in,lifetime_orders
C00001,Patricia,Johnson,customer1@email.com,27,F,Philadelphia,2021-09-11,Silver,False,0
C00002,Jennifer,Hernandez,customer2@email.com,73,Other,Omaha,2021-09-12,New,False,0
C00003,Jennifer,Taylor,customer3@email.com,66,Other,Newark,2021-07-14,Bronze,False,0
C00004,Karen,Smith,customer4@email.com,37,M,Philadelphia,2023-06-20,Bronze,False,0
C00005,Emma,Lopez,customer5@email.com,31,M,Minneapolis,2021-09-04,Silver,False,0
C00006,Olivia,Perez,customer6@email.com,56,F,Nashville,2022-05-22,Silver,True,0
C00007,Jessica,Jones,customer7@email.com,24,F,Omaha,2023-05-18,Gold,False,0
C00008,Susan,Johnson,customer8@email.com,43,F,Minneapolis,2023-02-22,New,True,0
C00009,Barbara,Williams,customer9@email.com,53,F,San Francisco,2022-01-07,Bronze,False,0
C00010,William,Martin,customer10@email.com,53,Other,Denver,2023-02-22,Bronze,True,0
C00011,Richard,Lopez,customer11@email.com,24,F,Seattle,2021-05-12,Gold,False,0
C00012,Michael,Martin,customer12@email.com,27,Other,Philadelphia,2023-02-13,New,True,0
C00013,Robert,Thompson,customer13@email.com,20,F,Los Angeles,2021-02-16,New,False,0
C00014,Thomas,Jones,customer14@email.com,56,F,Denver,2021-06-02,Silver,False,0
C00015,Liam,Martinez,customer15@email.com,43,Other,New York,2021-06-16,Silver,False,0
C00016,Barbara,Taylor,customer16@email.com,54,M,Boston,2022-12-27,Silver,False,0
C00017,Jessica,Jackson,customer17@email.com,25,F,Omaha,2022-11-21,Silver,True,0
C00018,William,Lee,customer18@email.com,48,Other,Portland,2022-09-04,Bronze,True,0
C00019,Emma,Taylor,customer19@email.com,21,M,San Francisco,2023-01-09,Silver,False,0
C00020,Noah,Davis,customer20@email.com,70,M,Portland,2021-06-01,Silver,True,0
C00021,Joseph,Hernandez,customer21@email.com,19,F,Indianapolis,2021-07-15,Bronze,False,0
C00022,Jessica,Thomas,customer22@email.com,31,Other,Los Angeles,2022-12-09,Gold,True,0
C00023,Thomas,Miller,customer23@email.com,26,Other,New York,2022-12-24,Silver,False,0
C00024,David,Garcia,customer24@email.com,42,F,Seattle,2022-06-23,Silver,False,0
C00025,Noah,Perez,customer25@email.com,40,Other,St. Louis,2022-07-14,Bronze,False,0
C00026,Michael,Davis,customer26@email.com,48,F,Seattle,2022-09-17,Bronze,False,0
C00027,Sophia,Martinez,customer27@email.com,37,Other,Atlanta,2021-08-19,Silver,False,0
C00028,Susan,Moore,customer28@email.com,48,Other,New Orleans,2021-11-21,Bronze,False,0
C00029,Noah,Moore,customer29@email.com,54,F,Philadelphia,2021-05-05,Bronze,False,0
C00030,Robert,Martinez,customer30@email.com,69,M,Nashville,2023-03-03,Gold,True,0
C00031,Olivia,Rodriguez,customer31@email.com,46,Other,Los Angeles,2021-12-21,Bronze,True,0
C00032,Sarah,Rodriguez,customer32@email.com,70,Other,St. Louis,2021-07-26,Silver,False,0
C00033,Liam,Jackson,customer33@email.com,24,M,Miami,2021-05-21,Gold,True,0
C00034,Thomas,Davis,customer34@email.com,75,Other,Miami,2022-11-17,New,True,0
C00035,David,Thompson,customer35@email.com,44,F,Milwaukee,2021-04-13,New,True,0
C00036,Jennifer,Wilson,customer36@email.com,53,Other,Los Angeles,2021-01-06,New,False,0
C00037,Sophia,Martinez,customer37@email.com,30,F,Nashville,2022-10-29,Silver,True,0
C00038,Olivia,Jackson,customer38@email.com,23,M,Seattle,2023-02-27,Gold,True,0
C00039,Jennifer,Johnson,customer39@email.com,44,F,Los Angeles,2021-06-29,Bronze,True,0
C00040,Barbara,Johnson,customer40@email.com,73,M,Nashville,2023-02-06,Silver,True,0
C00041,Joseph,Lee,customer41@email.com,36,Other,San Francisco,2021-12-10,Gold,False,0
C00042,Thomas,Anderson,customer42@email.com,72,F,Atlanta,2021-05-18,Bronze,True,0
C00043,Isabella,Anderson,customer43@email.com,28,Other,New Orleans,2021-12-05,Gold,True,0
C00044,David,Martinez,customer44@email.com,65,Other,Kansas City,2021-01-15,New,True,0
C00045,Olivia,Gonzalez,customer45@email.com,57,F,San Francisco,2021-06-29,Silver,False,0
C00046,Noah,Brown,customer46@email.com,43,M,Indianapolis,2021-03-30,Bronze,False,0
C00047,James,Rodriguez,customer47@email.com,33,F,Miami,2021-11-28,Silver,False,0
C00048,David,Martinez,customer48@email.com,35,Other,Omaha,2023-02-11,Bronze,True,0
C00049,Susan,Thompson,customer49@email.com,59,M,Minneapolis,2021-09-25,Bronze,True,0
C00050,Jennifer,Gonzalez,customer50@email.com,37,Other,San Francisco,2022-04-22,Silver,False,0
C00051,Olivia,Martinez,customer51@email.com,25,F,Denver,2022-12-08,New,True,0
C00052,Karen,Jones,customer52@email.com,26,F,Omaha,2021-08-13,Bronze,False,0
C00053,Sarah,Taylor,customer53@email.com,62,Other,Kansas City,2022-03-02,New,True,0
C00054,Noah,Martin,customer54@email.com,33,M,San Francisco,2023-02-20,New,False,0
C00055,Susan,Williams,customer55@email.com,63,Other,Milwaukee,2022-06-25,Bronze,True,0
C00056,Thomas,Miller,customer56@email.com,53,Other,Seattle,2023-04-29,New,True,0
C00057,Thomas,Anderson,customer57@email.com,38,M,Kansas City,2021-06-18,Gold,True,0
C00058,Karen,Williams,customer58@email.com,55,Other,Newark,2023-01-05,Silver,True,0
C00059,Thomas,Wilson,customer59@email.com,26,F,Portland,2022-04-10,Gold,True,0
C00060,Noah,Martinez,customer60@email.com,47,Other,Chicago,2022-07-27,Silver,False,0
C00061,James,Miller,customer61@email.com,70,Other,Detroit,2021-09-18,Silver,True,0
C00062,Ava,Williams,customer62@email.com,40,Other,Minneapolis,2022-03-10,Silver,True,0
C00063,Barbara,Wilson,customer63@email.com,20,M,Tulsa,2022-04-29,New,True,0
C00064,Isabella,Lee,customer64@email.com,59,F,Boston,2023-02-24,Silver,False,0
C00065,Richard,Gonzalez,customer65@email.com,73,M,Kansas City,2022-04-05,Silver,True,0
C00066,Susan,Brown,customer66@email.com,73,M,Seattle,2022-11-01,Bronze,False,0
C00067,Isabella,Davis,customer67@email.com,26,M,Tulsa,2022-06-26,Gold,True,0
C00068,Noah,Moore,customer68@email.com,47,F,Seattle,2021-11-02,New,False,0
C00069,Linda,Anderson,customer69@email.com,32,F,Indianapolis,2023-04-24,Gold,False,0
C00070,Isabella,Brown,customer70@email.com,74,M,Kansas City,2021-07-13,New,False,0
C00071,James,Davis,customer71@email.com,67,M,Detroit,2022-09-22,Bronze,True,0
C00072,Joseph,Martin,customer72@email.com,20,Other,St. Louis,2022-09-01,Silver,True,0
C00073,Mary,Gonzalez,customer73@email.com,65,F,Miami,2021-09-08,Gold,True,0
C00074,Sophia,Johnson,customer74@email.com,73,M,San Francisco,2023-02-12,New,False,0
C00075,Isabella,Jackson,customer75@email.com,70,F,Portland,2021-08-28,Bronze,False,0
C00076,Robert,Perez,customer76@email.com,37,Other,Miami,2021-08-31,Bronze,False,0
C00077,Mary,Moore,customer77@email.com,35,Other,Omaha,2021-11-04,Bronze,True,0
C00078,Jessica,Moore,customer78@email.com,61,F,Minneapolis,2022-10-04,Gold,False,0
C00079,Richard,Thomas,customer79@email.com,60,F,St. Louis,2022-10-21,Silver,False,0
C00080,Barbara,Gonzalez,customer80@email.com,27,M,Tulsa,2022-02-23,Gold,False,0
C00081,Linda,Martinez,customer81@email.com,72,Other,Indianapolis,2021-09-04,New,False,0
C00082,Jessica,Wilson,customer82@email.com,53,Other,San Francisco,2021-03-01,Bronze,True,0
C00083,William,Miller,customer83@email.com,33,F,Dallas,2022-02-02,Silver,True,0
C00084,Susan,Williams,customer84@email.com,72,Other,Omaha,2022-04-06,Gold,True,0
C00085,Richard,Perez,customer85@email.com,35,Other,Denver,2021-02-22,Silver,True,0
C00086,Michael,Jackson,customer86@email.com,22,Other,Kansas City,2023-06-14,Silver,True,0
C00087,David,Martinez,customer87@email.com,31,M,Atlanta,2022-05-06,Bronze,True,0
C00088,Isabella,Taylor,customer88@email.com,25,M,St. Louis,2023-01-30,Bronze,True,0
C00089,Sarah,Hernandez,customer89@email.com,33,F,Philadelphia,2022-02-11,New,False,0
C00090,Susan,Martinez,customer90@email.com,59,F,Boston,2022-07-01,Bronze,False,0
C00091,Isabella,Taylor,customer91@email.com,24,F,Atlanta,2022-04-23,Gold,False,0
C00092,Mary,Jackson,customer92@email.com,44,M,Omaha,2021-11-17,Bronze,True,0
C00093,Sarah,Jackson,customer93@email.com,34,Other,Omaha,2021-01-17,Bronze,False,0
C00094,Michael,Hernandez,customer94@email.com,27,M,Philadelphia,2021-10-30,Bronze,True,0
C00095,Olivia,Perez,customer95@email.com,53,F,New Orleans,2022-05-27,Bronze,False,0
C00096,Isabella,Taylor,customer96@email.com,59,F,Houston,2023-01-11,Bronze,False,0
C00097,Isabella,Moore,customer97@email.com,26,F,Houston,2021-06-23,Bronze,True,0
C00098,John,Perez,customer98@email.com,20,M,Tulsa,2022-06-21,Silver,True,0
C00099,Olivia,Davis,customer99@email.com,26,M,St. Louis,2022-02-27,Gold,True,0
C00100,Thomas,Anderson,customer100@email.com,31,F,Minneapolis,2021-01-10,Gold,False,0
C00101,James,Smith,customer101@email.com,49,Other,Seattle,2022-11-07,Gold,False,0
C00102,Thomas,Rodriguez,customer102@email.com,19,Other,Nashville,2021-01-13,Bronze,True,0
C00103,Ava,Perez,customer103@email.com,70,F,Houston,2022-05-30,Silver,True,0
C00104,Robert,Davis,customer104@email.com,51,M,Denver,2021-04-09,Bronze,False,0
C00105,William,Gonzalez,customer105@email.com,40,M,Boston,2023-04-15,New,False,0
C00106,Linda,Thompson,customer106@email.com,54,M,Nashville,2022-04-16,Silver,True,0
C00107,Olivia,Johnson,customer107@email.com,72,M,Philadelphia,2022-11-01,Silver,False,0
C00108,Karen,Johnson,customer108@email.com,53,Other,Chicago,2022-01-22,Bronze,True,0
C00109,Jessica,Lee,customer109@email.com,49,F,Portland,2021-03-26,Silver,True,0
C00110,Linda,Miller,customer110@email.com,20,Other,Portland,2022-06-25,Gold,False,0
C00111,John,Perez,customer111@email.com,20,F,Seattle,2021-10-05,Silver,True,0
C00112,David,Smith,customer112@email.com,72,M,Portland,2021-07-03,Silver,True,0
C00113,Ava,Gonzalez,customer113@email.com,70,M,Nashville,2023-02-10,New,True,0
C00114,Emma,Gonzalez,customer114@email.com,33,Other,Seattle,2022-08-01,New,False,0
C00115,Isabella,Jones,customer115@email.com,66,Other,Omaha,2022-01-29,Bronze,True,0
C00116,Susan,Johnson,customer116@email.com,65,M,Baltimore,2022-05-28,New,True,0
C00117,David,Martin,customer117@email.com,22,Other,Denver,2023-05-09,New,False,0
C00118,James,Lee,customer118@email.com,38,F,Newark,2023-03-04,Silver,False,0
C00119,Sarah,Gonzalez,customer119@email.com,40,F,Houston,2021-08-22,New,False,0
C00120,Liam,Martinez,customer120@email.com,67,M,St. Louis,2021-03-29,Bronze,True,0
C00121,Robert,Gonzalez,customer121@email.com,35,Other,Dallas,2021-03-26,New,True,0
C00122,David,Lopez,customer122@email.com,42,M,Detroit,2023-01-28,New,True,0
C00123,Susan,Rodriguez,customer123@email.com,46,M,Indianapolis,2021-11-12,Silver,True,0
C00124,Joseph,Moore,customer124@email.com,45,Other,San Francisco,2021-07-11,Gold,False,0
C00125,John,Lopez,customer125@email.com,19,Other,Detroit,2021-04-16,Silver,False,0
C00126,James,Martinez,customer126@email.com,42,F,Philadelphia,2023-06-04,Silver,True,0
C00127,Sarah,Davis,customer127@email.com,75,Other,San Francisco,2023-01-13,New,True,0
C00128,Jennifer,Jones,customer128@email.com,42,F,Nashville,2022-12-03,New,False,0
C00129,John,Garcia,customer129@email.com,27,F,New Orleans,2022-05-20,Gold,False,0
C00130,John,Lopez,customer130@email.com,48,F,Miami,2021-11-03,Bronze,False,0
C00131,Michael,Anderson,customer131@email.com,57,M,Indianapolis,2022-09-01,Silver,False,0
C00132,David,Martin,customer132@email.com,43,F,New York,2021-01-07,Silver,False,0
C00133,Olivia,Martin,customer133@email.com,45,M,Nashville,2021-12-09,Gold,False,0
C00134,Michael,Taylor,customer134@email.com,62,F,Houston,2022-09-10,Silver,False,0
C00135,Isabella,Thompson,customer135@email.com,36,Other,Los Angeles,2021-11-23,New,True,0
C00136,William,Gonzalez,customer136@email.com,42,F,Milwaukee,2021-11-30,Silver,True,0
C00137,Jennifer,Perez,customer137@email.com,52,Other,Chicago,2022-08-30,Bronze,False,0
C00138,Joseph,Martinez,customer138@email.com,31,Other,Detroit,2022-12-27,Bronze,False,0
C00139,Robert,Lee,customer139@email.com,49,F,Miami,2022-11-21,Silver,False,0
C00140,Ava,Wilson,customer140@email.com,27,F,Detroit,2022-11-06,New,False,0
C00141,Emma,Gonzalez,customer141@email.com,48,Other,San Francisco,2022-09-05,New,False,0
C00142,Susan,Thompson,customer142@email.com,20,Other,Denver,2022-07-11,Silver,True,0
C00143,Linda,Perez,customer143@email.com,67,Other,Boston,2021-04-22,Bronze,True,0
C00144,Mary,Jackson,customer144@email.com,57,Other,Kansas City,2022-10-25,Silver,False,0
C00145,Jessica,Brown,customer145@email.com,39,M,Milwaukee,2023-02-10,Silver,False,0
C00146,Isabella,Thomas,customer146@email.com,50,Other,Portland,2021-08-16,Gold,True,0
C00147,Richard,Anderson,customer147@email.com,41,Other,Portland,2022-04-02,Bronze,True,0
C00148,Karen,Brown,customer148@email.com,19,F,Baltimore,2021-12-20,Bronze,True,0
C00149,Isabella,Jones,customer149@email.com,71,F,Nashville,2021-04-29,Gold,False,0
C00150,Michael,Thomas,customer150@email.com,68,F,Boston,2022-04-12,Silver,False,0
C00151,Isabella,Thompson,customer151@email.com,46,F,New York,2021-04-10,New,True,0
C00152,Ava,Brown,customer152@email.com,20,M,New York,2021-11-04,Silver,True,0
C00153,Jennifer,Davis,customer153@email.com,69,Other,Houston,2022-11-25,Gold,True,0
C00154,Jessica,Anderson,customer154@email.com,53,M,Philadelphia,2021-12-05,Bronze,True,0
C00155,Noah,Wilson,customer155@email.com,58,F,Chicago,2021-07-10,New,True,0
C00156,Jessica,Gonzalez,customer156@email.com,55,M,St. Louis,2022-04-06,Silver,True,0
C00157,Sophia,Thompson,customer157@email.com,35,M,Portland,2021-07-30,Bronze,True,0
C00158,Sarah,Garcia,customer158@email.com,73,F,New York,2023-03-30,Bronze,True,0
C00159,William,Perez,customer159@email.com,25,F,San Francisco,2022-04-14,Silver,False,0
C00160,Liam,Gonzalez,customer160@email.com,42,Other,Milwaukee,2022-09-04,Bronze,False,0
C00161,Joseph,Martin,customer161@email.com,72,M,Kansas City,2021-12-27,Silver,False,0
C00162,John,Perez,customer162@email.com,55,M,New York,2022-09-22,Bronze,True,0
C00163,Patricia,Garcia,customer163@email.com,37,F,St. Louis,2021-09-02,Bronze,True,0
C00164,Jessica,Martin,customer164@email.com,42,M,Portland,2022-06-08,Bronze,False,0
C00165,Karen,Lee,customer165@email.com,29,Other,St. Louis,2022-03-10,Gold,True,0
C00166,Karen,Martinez,customer166@email.com,28,M,Houston,2022-07-23,New,False,0
C00167,Liam,Johnson,customer167@email.com,46,F,Chicago,2023-05-13,Silver,False,0
C00168,Richard,Moore,customer168@email.com,30,Other,Dallas,2021-05-20,Silver,False,0
C00169,Karen,Wilson,customer169@email.com,61,Other,Newark,2022-02-23,Gold,False,0
C00170,Emma,Smith,customer170@email.com,23,M,Nashville,2021-06-21,Bronze,True,0
C00171,Sarah,Martinez,customer171@email.com,32,M,Tulsa,2021-10-09,Bronze,False,0
C00172,Sophia,Taylor,customer172@email.com,65,Other,San Francisco,2022-08-03,Gold,True,0
C00173,William,Moore,customer173@email.com,25,F,Seattle,2022-08-10,Bronze,True,0
